Source,Destination,Walking Time (seconds)
11,35,6514
11,36,4266
11,37,4838
11,38,4824
11,39,4881
11,40,5992
11,41,8561
11,42,5987
11,43,6365
11,44,6060
11,45,2301
11,46,2239
11,47,3923
11,48,4444
11,49,3704
11,50,3962
11,51,5578
11,52,4076
11,53,4015
11,54,12191
11,55,9139
11,56,4572
11,57,7528
12,1,9250
12,2,9613
12,3,4108
12,4,2592
12,5,8372
12,6,6398
12,7,5944
12,8,4562
12,9,2538
12,10,5026
12,11,1158
12,12,0
12,13,1905
12,14,4952
12,15,6575
12,16,5711
12,17,6781
12,18,2850
12,19,5783
12,20,2571
12,21,1383
12,22,2339
12,23,1799
12,24,4164
12,25,5206
12,26,5509
12,27,7596
12,28,892
12,29,2405
12,30,6443
12,31,8319
12,32,3257
12,33,1159
12,34,5537
12,35,5466
12,36,4102
12,37,3790
12,38,3776
12,39,3837
12,40,4949
12,41,7834
12,42,4943
12,43,5316
12,44,5015
12,45,1288
12,46,1195
12,47,3414
12,48,3400
12,49,2660
12,50,2917
12,51,4845
12,52,3027
12,53,2966
12,54,11944
12,55,8412
12,56,3528
12,57,6479
13,1,10348
13,2,10577
13,3,5039
13,4,3408
13,5,9164
13,6,6712
13,7,6128
13,8,4885
13,9,3354
13,10,5882
13,11,2399
13,12,1881
13,13,0
13,14,5136
13,15,7216
13,16,6025
13,17,4051
13,18,3642
13,19,6424
13,20,2854
13,21,2348
13,22,2459
13,23,2398
13,24,4956
13,25,5520
13,26,5693
13,27,8388
13,28,1190
13,29,3221
13,30,7295
13,31,9111
13,32,3746
13,33,762
13,34,5721
13,35,5780
13,36,5164
13,37,4279
13,38,4265
13,39,4629
13,40,5741
13,41,8626
13,42,5493
13,43,5630
13,44,5199
13,45,1311
13,46,1945
13,47,4304
13,48,3980
13,49,3261
13,50,3042
13,51,5637
13,52,3291
13,53,3457
13,54,12834
13,55,9204
13,56,4223
13,57,6793
14,1,11315
14,2,11444
14,3,8850
14,4,4202
14,5,9509
14,6,4466
14,7,2982
14,8,2761
14,9,4186
14,10,6469
14,11,5962
14,12,4913
14,13,5132
14,14,0
14,15,6661
14,16,4323
14,17,3088
14,18,4208
14,19,5869
14,20,2807
14,21,4064
14,22,2655
14,23,3709
14,24,4888
14,25,3585
14,26,2587
14,27,8144
14,28,4443
14,29,4015
14,30,6900
14,31,9456
14,32,3698
14,33,4491
14,34,2615
14,35,3845
14,36,6131
14,37,4231
14,38,3783
14,39,5024
14,40,5379
14,41,8459
14,42,4234
14,43,3395
14,44,2093
14,45,3939
14,46,3965
14,47,5271
14,48,4046
14,49,3862
14,50,2368
14,51,6224
14,52,2760
14,53,3373
14,54,13511
14,55,9340
14,56,4456
14,57,4593
15,1,6890
15,2,6347
15,3,9899
15,4,4131
15,5,4283
15,6,3151
15,7,4846
15,8,4487
15,9,4039
15,10,3483
15,11,7596
15,12,6571
15,13,7215
15,14,6673
15,15,0
15,16,2148
15,17,8502
15,18,3848
15,19,845
15,20,4516
15,21,5161
15,22,5004
15,23,5005
15,24,2542
15,25,2526
15,26,3929
